subset,documents,tokens_budgeted,tokens_effective,words_available,documents_available,tokens_per_document
acm_Arab,7382,13684930,3239565,3239565,7382,438.8465185586562
aeb_Arab,19979,19127253,9889783,9889783,19979,495.00890935482255
apc_Arab,69740,23452490,19512279,19512279,69740,279.7860481789504
arb_Arab,411244,217725743,217725555,32812858120,61977525,529.4315660394635
ars_Arab,56972,51579609,51579069,269942711,298167,905.3406681490574
ary_Arab,203579,72598190,72598042,843523994,2365405,356.60869660798045
ava_Cyrl,8766,15179437,4576467,4576467,8766,522.0701574264202
azb_Arab,62648,28059834,28059730,35478216,79211,447.89506507934504
bak_Cyrl,82096,35784102,35783936,79795527,183068,435.8791651189722
bcl_Latn,8822,15022079,4420231,4420231,8822,501.046361369304
bew_Latn,73987,54637518,54637506,327075482,442907,738.4744020753792
bod_Tibt,47824,42701641,42701362,143822443,161076,892.8856130025578
cat_Latn,296418,144401840,144401545,8348091726,17136414,487.15511459982235
ceb_Latn,64322,41670775,41670389,132571464,204636,647.8403799917903
che_Cyrl,22344,20667741,12802715,12803288,22345,572.9822331617812
crh_Cyrl,2576,13303650,2948362,2948362,2576,1144.5504658385094
dzo_Tibt,19239,19161119,9948273,9948273,19239,517.0888819585217
fij_Latn,15331,19711891,10933833,10933833,15331,713.1845933076772
fur_Latn,22920,20928247,13348589,13349171,22921,582.3991536145893
glg_Latn,166154,81419178,81419057,1236233473,2522814,490.0216476521852
hbo_Hebr,31878,27853727,27853306,34616981,39619,873.746964840102
heb_Hebr,248285,144995157,144994933,8462976117,14491748,583.9858736848032
hil_Latn,43810,25049758,24304680,24304680,43810,554.7747089705547
hun_Latn,345417,213878796,213878586,30919839164,49935986,619.1895192376896
ind_Latn,434599,261285101,261284901,60264322142,100238529,601.2091632150747
inh_Cyrl,6635,14976949,4376121,4376121,6635,659.5510173323286
ita_Latn,576902,335822440,335822344,139116026491,238984437,582.1133302123769
jpn_Jpan,526374,435613920,435613477,331144301801,400138563,827.5740766355478
kac_Latn,7493,16450284,5983052,5983052,7493,798.4855198184972
kan_Knda,223664,70051118,70051075,748850327,2390982,313.19781035574505
kaz_Cyrl,164441,92283696,92283564,1876843453,3344366,561.1955907337893
kha_Latn,29993,20796726,13071578,13071578,29993,435.8209582235855
khm_Khmr,160846,67675442,67675209,667495692,1586460,420.74536515260394
kin_Latn,105301,41193362,41193052,127575978,326120,391.1933582730283
kir_Cyrl,155888,57927005,57926904,397449282,1069582,371.5930915067755
kor_Hang,306763,244975478,244975190,48613120582,60874355,798.5812840563157
kpv_Cyrl,7806,17543133,7413705,7413705,7806,949.7444273635665
lao_Laoo,88007,46389768,46389733,189562362,359623,527.114122289175
lug_Latn,35503,20429857,12318633,12318633,35503,346.9744246965045
lus_Latn,57163,30907687,30907170,48966586,90564,540.6848858265978
mal_Latn,3434,12746589,2556572,2556572,3434,744.488060570763
mhr_Cyrl,27830,21510691,14628260,14628260,27830,525.6291771469637
mlt_Latn,89646,52511696,52511160,286548586,489190,585.7613319977922
mya_Mymr,132918,72877764,72877454,854400671,1558304,548.2888261853913
myv_Cyrl,6561,15116862,4513883,4513883,6561,687.9870446578266
nap_Latn,38739,27258152,27257818,32210650,45778,703.6272882170475
nde_Latn,22657,16866835,6503145,6503145,22657,287.0258639713996
new_Deva,17464,18652514,9095000,9095000,17464,520.7856161245992
nob_Latn,257535,216111465,216111032,32008904934,38144343,839.1520843339732
nya_Latn,54746,33276558,33276037,62633421,103045,607.825911009753
pap_Latn,66076,39152408,39152024,107697692,181759,592.5301745718232
roh_Latn,77664,24682987,23138605,23138605,77664,297.9321822208488
run_Latn,74530,24433137,22367058,22367058,74530,300.1081175365625
scn_Latn,13216,16241309,5733435,5733435,13216,433.82528753026634
shn_Mymr,19218,14557814,3981060,3981060,19218,207.15266937246332
sme_Latn,65661,25365561,25341152,25341152,65661,385.9391724158938
smo_Latn,44846,37373105,37372615,92230674,110674,833.3544825342899
sot_Latn,41669,35713348,35712663,79270815,92492,857.0559075379492
tam_Latn,4828,15200226,4597393,4597393,4828,952.2355012427506
tat_Cyrl,46027,43440199,43439391,152282780,161354,943.7806314067207
tha_Thai,290889,199852234,199851854,24662748945,35897202,687.0381971553103
ton_Latn,7447,16016542,5473192,5473192,7447,734.9525983617564
tso_Latn,6906,17083969,6786420,6786420,6906,982.6846220677671
tuk_Arab,328,4726070,93615,93615,328,285.4115853658537
tur_Latn,531636,234350469,234350063,41933799420,95129129,440.8092438226781
udm_Cyrl,27979,22088748,15980185,15980185,27979,571.1492547982415
uzn_Cyrl,158683,63677161,63676843,544866919,1357811,401.2833295650131
vie_Latn,298029,248358081,248357505,50886874358,61064248,833.3333501134739
wln_Latn,15586,17633223,7541374,7541374,15586,483.85563967663285
xho_Latn,87754,40027446,40027391,115932287,254164,456.1318164649596
zsm_Arab,12,1531058,2186,2186,12,182.16666666666666
zul_Latn,61563,34649107,34648965,71666844,127335,562.8212510307457
