subset,documents,tokens_budgeted,tokens_effective,words_available,documents_available,tokens_per_document
acm_Arab,7382,10662558,3239565,3239565,7382,438.8465185586562
ady_Cyrl,6863,10558370,3135246,3135246,6863,456.8331633396474
aeb_Arab,19979,14902922,9889783,9889783,19979,495.00890935482255
afr_Latn,85396,68519976,68519177,1598352868,1992040,802.3698660669464
als_Latn,214903,86342914,86342541,3454387059,8597826,401.77447868798464
amh_Ethi,69258,38792179,38792144,239936286,428373,560.1106652380051
apc_Arab,65310,18272914,18272827,19512279,69740,279.7860481789504
arb_Arab,320419,169640138,169639933,32812858120,61977525,529.4315660394635
arg_Latn,26250,15030908,10175742,10175742,26250,387.6473142857143
ars_Arab,44389,40188045,40187167,269942711,298167,905.3406681490574
ary_Arab,158618,56564588,56564558,843523994,2365405,356.60869660798045
arz_Arab,106980,43259006,43258993,345040810,853290,404.36523339075814
asm_Beng,80893,29655660,29655412,98018336,267371,366.6004764914669
ast_Latn,35794,23874137,23873624,47574503,71329,666.972802086108
ava_Cyrl,8766,11826997,4576467,4576467,8766,522.0701574264202
azb_Arab,48812,21862707,21862654,35478216,79211,447.89506507934504
bak_Cyrl,63965,27881040,27881011,79795527,183068,435.8791651189722
ban_Latn,9233,14928617,9946735,9946735,9233,1077.3026102025344
bar_Latn,33026,18658063,18657985,20917214,37025,564.9483862255233
bcl_Latn,8822,11704393,4420231,4420231,8822,501.046361369304
bel_Cyrl,112275,62342673,62342373,1166541148,2100873,555.2649531885078
ben_Beng,253373,102672406,102672022,6153579265,15185742,405.22084893843186
bew_Latn,57646,42570603,42570095,327075482,442907,738.4744020753792
bho_Deva,18467,14003237,8036065,8036065,18467,435.15811988953266
bod_Tibt,37262,33270812,33270704,143822443,161076,892.8856130025578
bos_Latn,269803,115408882,115408686,9086837979,21243255,427.75167830918565
bre_Latn,43457,20381869,20381816,28082040,59875,469.0111064718163
bul_Cyrl,221466,136947856,136947631,16074326712,25994731,618.3686498621586
bxr_Cyrl,11441,13236087,6660099,6660099,11441,582.1256009090115
cat_Latn,230953,112510114,112509935,8348091726,17136414,487.15511459982235
ceb_Latn,50116,32467617,32467168,132571464,204636,647.8403799917903
ces_Latn,323386,173663434,173663002,35479428809,66067904,537.0145965127031
che_Cyrl,22344,16103188,12802715,12803288,22345,572.9822331617812
chv_Cyrl,46761,22527888,22527675,39205795,81380,481.7620422708282
ckb_Arab,90682,38616953,38616740,236342609,554993,425.84790979345684
cos_Latn,39045,27804837,27804693,79070865,111036,712.1191775640333
crh_Cyrl,2576,10365485,2948362,2948362,2576,1144.5504658385094
cym_Latn,77927,49014248,49013774,523226616,831878,628.9703730595111
dan_Latn,261862,161853795,161853250,28055948840,45391655,618.0860521609093
deu_Latn,598467,316475801,316475422,262271052199,495964485,528.8101469584057
diq_Latn,7744,11033134,3630321,3630321,7744,468.791451446281
div_Thaa,111072,29009585,29009445,91079452,348727,261.17694356903826
dsb_Latn,6798,9512026,2214074,2214074,6798,325.6949102677258
dzo_Tibt,19239,14929309,9948273,9948273,19239,517.0888819585217
ekk_Latn,162957,104681941,104681531,6564292000,10218587,642.3874455440855
ell_Grek,316052,152144240,152143785,22827957288,47421073,481.3884596833142
eng_Latn,1588528,1134663065,1134662857,18500000000000,25900000000,714.2857142857143
epo_Latn,54443,38755115,38754657,239172962,335993,711.8391216483677
eus_Latn,118508,53758655,53758599,711939889,1569434,453.62843483701766
ewe_Latn,6973,14063909,8152713,8152713,6973,1169.1829915387925
fao_Latn,86152,29939499,29939474,101180563,291151,347.5192013766053
fij_Latn,15331,15358441,10933833,10933833,15331,713.1845933076772
fin_Latn,265226,146974002,146973528,20343096672,36710816,554.1444971422046
fra_Latn,490319,300492758,300492602,220662584640,360058973,612.8512304566285
fry_Latn,86691,32300616,32300532,130312086,349743,372.59383604532474
fur_Latn,22920,16306160,13348589,13349171,22921,582.3991536145893
gaz_Latn,45282,18196537,18196537,19241747,47883,401.8492366810768
gla_Latn,46424,34773164,34772644,166633652,222468,749.0230145459122
gle_Latn,71242,45728829,45728485,415191949,646842,641.875371419914
glg_Latn,129458,63437425,63437222,1236233473,2522814,490.0216476521852
glk_Arab,12300,12627753,5693363,5693363,12300,462.8750406504065
grc_Grek,18174,21556828,21556421,33850484,28539,1186.1131784575493
gsw_Latn,38643,21192229,21191848,31979438,58314,548.4006928010426
guj_Gujr,132806,58322585,58322424,934124052,2127094,439.15504063290103
hat_Latn,54226,32658784,32658338,135191283,224472,602.2634582486903
haw_Latn,34768,27394933,27394327,75251668,95507,787.9178280126064
hbo_Hebr,24837,21702120,21701253,34616981,39619,873.746964840102
heb_Hebr,193450,112972395,112972067,8462976117,14491748,583.9858736848032
hif_Latn,23398,37359478,37358053,211649862,132560,1596.6344447797223
hil_Latn,35180,19517418,19516974,24304680,43810,554.7747089705547
hin_Deva,242823,122793192,122792756,11173681651,22095985,505.68832532245113
hne_Deva,12826,13787606,7630943,7630943,12826,594.9589115858413
hrv_Latn,98334,104896749,104896274,6609299440,6195824,1066.7345360358847
hsb_Latn,44293,16984513,15291814,15291814,44293,345.24222789154044
hun_Latn,269130,166642805,166642475,30919839164,49935986,619.1895192376896
hye_Armn,143878,51927603,51927370,634273060,1757415,360.9125107046429
iba_Latn,17703,14412026,8845019,8845019,17703,499.63390385810317
ibo_Latn,35854,27430006,27429314,75573291,98785,765.0280002024599
ido_Latn,10640,11629165,4326238,4326238,10640,406.6013157894737
ilo_Latn,21304,14693724,9434558,9434558,21304,442.8538302666166
ind_Latn,338616,203579237,203579042,60264322142,100238529,601.2091632150747
inh_Cyrl,6635,11669230,4376121,4376121,6635,659.5510173323286
isl_Latn,123953,69754202,69753911,1696354360,3014429,562.7448382429973
ita_Latn,449491,261654705,261654703,139116026491,238984437,582.1133302123769
jav_Latn,43603,32971911,32971509,139560458,184561,756.1752374553671
jpn_Jpan,410122,339406836,339406335,331144301801,400138563,827.5740766355478
kab_Latn,11541,12793532,5946346,5946346,11541,515.2366346070531
kac_Latn,7493,12817173,5983052,5983052,7493,798.4855198184972
kal_Latn,40164,16858451,14916751,14916751,40164,371.3960511901205
kan_Knda,174267,54580047,54580043,748850327,2390982,313.19781035574505
kat_Geor,170975,66402665,66402384,1439572993,3706659,388.37481219610436
kaz_Cyrl,128123,71902471,71902063,1876843453,3344366,561.1955907337893
kbd_Cyrl,6937,11716326,4435271,4435271,6937,639.3644226610927
kha_Latn,29993,16203686,13071578,13071578,29993,435.8209582235855
khk_Cyrl,110605,56172928,56172880,824211882,1622882,507.8692609813899
khm_Khmr,125322,52729049,52728651,667495692,1586460,420.74536515260394
kik_Latn,7292,6797673,722464,722464,7292,99.07624794295118
kin_Latn,82045,32095642,32095459,127575978,326120,391.1933582730283
kir_Cyrl,121459,45133594,45133325,397449282,1069582,371.5930915067755
kmr_Cyrl,876,5204579,296643,296643,876,338.6335616438356
kor_Hang,239013,190871660,190871308,48613120582,60874355,798.5812840563157
kpv_Cyrl,7806,13668662,7413705,7413705,7806,949.7444273635665
lao_Laoo,68570,36144401,36144215,189562362,359623,527.114122289175
lat_Latn,110959,53822561,53822454,714764848,1473541,485.0661420347313
lez_Cyrl,7305,12051677,4872744,4872744,7305,667.0422997946612
lim_Latn,37165,17299382,16257384,16257384,37165,437.4380196421364
