subset,documents,tokens_budgeted,tokens_effective,words_available,documents_available,tokens_per_document
aeb_Arab,19979,32899403,9889783,9889783,19979,495.00890935482255
arb_Arab,707351,374494292,374493948,32812858120,61977525,529.4315660394635
fur_Latn,22920,35997163,13348589,13349171,22921,582.3991536145893
hun_Latn,594127,367877437,367877211,30919839164,49935986,619.1895192376896
kpv_Cyrl,7806,30174673,7413705,7413705,7806,949.7444273635665
mlt_Latn,154195,90321567,90321469,286548586,489190,585.7613319977922
nde_Latn,22657,29011422,6503145,6503145,22657,287.0258639713996
roh_Latn,77664,42455419,23138605,23138605,77664,297.9321822208488
udm_Cyrl,27979,37993257,15980185,15980185,27979,571.1492547982415
wln_Latn,15586,30329631,7541374,7541374,15586,483.85563967663285
xho_Latn,150939,68848313,68848080,115932287,254164,456.1318164649596
zul_Latn,105890,59597421,59597142,71666844,127335,562.8212510307457
