TSNE1,TSNE2
7.6813064,7.184783
10.1012535,5.9008813
10.38893,6.4451466
12.954532,6.86049
10.415197,5.8503747
10.723074,5.755048
10.37549,4.959354
10.270297,5.1619205
10.113158,6.030996
11.855649,3.5184531
12.589823,4.8049455
10.569901,6.447696
7.2151003,-1.5214319
11.438006,4.3817167
13.012912,6.9191446
10.885523,6.07952
11.036453,5.4389286
7.6424294,7.269676
13.131711,5.2014112
8.418578,6.19448
9.732189,6.0366178
9.582481,5.2986536
13.123396,5.202078
11.84367,8.20101
10.8981905,6.3948703
7.611649,7.2600155
6.707477,4.4629765
9.696501,6.9363294
10.350747,7.036635
8.032727,5.1029806
7.805465,-1.1531199
3.1786077,8.817471
3.558664,8.808051
-4.431821,-6.9574533
3.1698854,8.3054695
2.8051307,8.789754
1.2248077,7.8149204
3.5676289,8.769911
5.6513414,11.718588
5.475661,5.5243216
4.82306,6.846498
5.9588265,8.291186
5.9324756,8.269943
5.513994,5.526969
5.1574717,10.036033
7.551085,-5.762804
5.665245,11.719864
3.1337597,8.262699
3.4670217,9.149601
5.645441,11.754076
6.7498946,-1.870873
4.956333,7.6910987
6.0140014,8.30402
3.4915817,8.0781355
5.65021,11.705023
4.7505875,8.673202
6.171221,-6.635768
2.585244,-4.373251
-5.6459203,-0.5553663
2.1885152,-4.8348927
4.115568,2.5530357
-3.7974167,0.77068496
1.2025547,3.1682925
-15.038613,-3.6186357
3.0633342,1.362989
-1.0373707,-1.7393377
6.495685,-6.1661406
4.305381,1.4030311
5.788714,-2.153498
0.15079147,1.8767724
3.916148,4.0880027
0.41988736,2.3635986
4.8846555,-0.18878207
4.8852706,-0.1837539
-1.1656917,-1.364453
0.65915006,2.861601
3.3317378,-2.6671236
1.5700128,-4.083184
-0.11694681,2.0252204
-5.645051,-0.55236495
-13.709093,-1.3342434
5.6338763,-2.1488535
0.11466254,1.3698953
-4.7568097,-5.292343
3.514695,0.817451
5.023375,-0.0033016931
-16.107418,-2.6625302
-3.8161051,0.75594455
-7.24832,2.1403852
0.12681928,2.3408117
-5.4382367,-4.4409013
-4.8769426,-4.343718
6.4539394,-6.156017
-7.306313,2.104484
-5.533935,-5.7354255
5.8640857,-4.2642317
6.4391975,-6.137147
1.4930974,-6.5885057
4.0458164,0.44408607
-14.120989,-4.257605
-5.519167,-5.2264504
-4.917152,-4.258987
-14.764673,-2.0115502
-13.869464,-1.933497
1.335224,2.1931956
-16.177273,-2.989402
-0.6372154,-5.731194
-15.4201145,-2.704881
-14.244496,-1.9021862
5.857141,-4.225136
-15.0715685,-4.5364485
3.3072124,-2.631912
-0.33008417,3.2819746
5.606766,-2.2323287
-0.7767422,4.0468307
1.2013129,2.1662908
-1.1070392,-1.7337965
-0.62351656,2.3060553
-14.555638,-3.1395228
-3.8223505,0.74005264
-0.13719352,3.5295682
-0.7154034,3.2187834
5.6496043,2.7838244
-14.547019,-3.3824246
5.928603,2.4592748
-6.1931124,-5.1617393
5.7457175,-2.1381674
1.4932394,-6.6114006
1.8396422,-4.33541
5.604313,2.7081454
-5.8639936,-4.803653
-1.0119454,1.8569962
0.16074593,3.8033867
5.927799,2.5755033
-1.3785048,-1.9083374
1.1810333,2.096841
-0.76363015,2.7151153
-4.8595004,-4.254821
-0.6396602,-5.7301826
5.712729,-2.1543424
-12.700396,-3.4316406
-14.7280245,-1.156338
-15.055955,-2.7442257
-16.157207,-1.6091009
-15.606428,-4.4799876
-15.117632,-2.518633
-17.047037,-4.0051603
-1.2565708,3.1894987
0.15698493,4.0108056
-0.46769115,2.918833
-7.272778,2.1764445
-7.3635135,2.0439467
1.0855392,-5.9578953
-7.860259,-2.0781138
-5.8998876,-4.102079
-8.191687,-3.8526502
-7.3464236,2.021466
-14.1381235,-3.8559663
1.434167,-1.8156428
-5.0230517,-4.93349
-9.527005,-1.1957209
-13.817954,-2.6292908
1.3923901,3.178314
-14.049093,-4.6160665
-4.101463,-4.8143444
-15.886915,-3.9078214
-5.2391906,-5.8068776
-15.810702,-3.898769
-0.98146045,-1.6414555
0.09439792,-2.8476295
5.2062473,2.5898798
-13.579006,-2.3634865
-2.938652,-4.8276706
-15.913693,-2.0786245
-13.325885,-2.339939
-13.262092,-3.8903203
-12.780223,-2.2206492
-13.096618,-3.6501384
-15.5487995,-1.3924247
-9.562093,-1.1651307
-4.694695,-5.4179196
-13.5682,-3.0202122
-0.6131884,-1.6564667
5.0184393,0.09026968
5.3110766,2.4974067
-9.392218,-1.2427493
-9.4414215,-1.1581676
1.3697679,-1.8181896
5.6064005,2.234799
-5.4551797,-3.9921057
-14.901856,-1.2422228
