TSNE1,TSNE2
-34.43208,196.94756
24.691929,128.02023
35.885353,170.78413
62.94743,187.6097
27.142197,151.01418
27.142197,151.01418
21.319586,181.5231
27.142197,151.01418
27.142197,151.01418
111.19357,172.45299
50.915207,122.3586
8.615531,165.78386
10.283419,61.082954
58.46796,154.7918
41.068188,206.2894
8.615531,165.78386
8.615531,165.78386
-25.176722,208.99739
74.6908,132.10855
5.1030765,203.9501
5.836985,138.64893
5.836985,138.64893
79.74649,143.25363
97.55389,251.54865
5.836985,138.64893
-39.98835,210.31569
-34.927135,170.41135
-9.907789,154.04861
-9.907789,154.04861
-10.679192,187.09412
16.313705,76.27604
-77.34466,118.0521
-77.34466,118.0521
-52.96776,78.32628
-77.34466,118.0521
-77.34466,118.0521
-46.61381,105.61563
-77.34466,118.0521
-143.12015,193.06984
-140.7098,118.21197
-116.08157,100.577644
-99.91268,154.11307
-99.91268,154.11307
-141.08061,105.76303
-135.20856,148.73367
-80.51327,172.2164
-128.1407,185.45404
-85.493774,98.28053
-85.493774,98.28053
-142.73883,176.48091
-10.8685665,49.67322
-112.30872,125.65315
-99.91268,154.11307
-85.493774,98.28053
-128.1407,185.45404
-112.30872,125.65315
61.46861,-8.181822
106.14327,49.17529
168.47197,58.264984
52.349575,-82.361565
-230.50092,-37.081654
102.52445,-16.858587
-81.53127,-5.543032
123.86383,-90.98072
-230.50092,-37.081654
-12.432011,-48.694553
66.05651,11.055473
-230.50092,-37.081654
7.2448254,12.721789
-81.53127,-5.543032
-201.56082,121.762215
-81.53127,-5.543032
-162.47849,-14.72664
-162.47849,-14.72664
-12.432011,-48.694553
-81.53127,-5.543032
-17.54851,-11.336405
62.079082,-53.445057
-81.53127,-5.543032
219.99162,51.94864
164.74364,-109.412636
7.2448254,12.721789
-81.53127,-5.543032
-81.05395,-143.2442
144.308,107.132034
-162.47849,-14.72664
147.66238,-102.96599
92.43258,-25.873245
156.21527,-9.557429
-81.53127,-5.543032
-35.06627,-116.95531
-74.38509,-126.34095
77.67135,18.747763
153.69159,-26.528782
-39.99205,-160.41418
44.45928,29.264
78.52845,4.7450957
30.827219,-85.14227
-249.74457,46.472584
166.99573,-90.42077
-55.23471,-121.57662
-55.23471,-121.57662
130.00853,-108.370926
107.92968,-107.776115
-88.92694,22.591276
184.66858,-106.177635
44.51279,-123.895645
144.99063,-84.85401
129.07936,-175.14206
44.45928,29.264
118.68734,-141.11417
-6.645127,-15.83757
-88.92694,22.591276
7.8149014,30.350372
-88.92694,22.591276
-88.92694,22.591276
3.0211873,-54.69212
-88.92694,22.591276
129.61984,-155.14932
105.01798,-30.039053
-88.92694,22.591276
-88.92694,22.591276
-163.54657,48.230164
100.86857,-132.74217
-163.54657,48.230164
-36.798634,-136.523
7.8149014,30.350372
26.52461,-95.18203
59.790695,-65.161224
-163.54657,48.230164
-36.798634,-136.523
-88.01452,-31.42794
-107.850395,-16.903011
-163.54657,48.230164
-7.8007517,-66.76969
-107.850395,-16.903011
-107.850395,-16.903011
-24.37079,-151.17412
34.189114,-122.72967
-8.200768,21.813953
118.981514,-123.1805
174.46982,-124.64473
109.34646,-158.7148
151.33519,-162.76971
151.33519,-162.76971
151.33519,-162.76971
-84.580864,-247.1849
-113.432945,8.274891
-113.432945,8.274891
-113.432945,8.274891
169.95462,-20.3211
169.95462,-20.3211
48.201973,-101.06795
4.848398,-267.64835
-57.815098,-145.5291
4.848398,-267.64835
169.95462,-20.3211
146.33624,-131.15543
17.614906,-26.346226
-57.815098,-145.5291
37.098274,-178.2773
146.33624,-131.15543
-113.432945,8.274891
146.33624,-131.15543
-57.815098,-145.5291
146.33624,-131.15543
-57.815098,-145.5291
146.33624,-131.15543
-23.026855,-64.472084
116.51253,48.019444
-182.58446,39.168697
146.33624,-131.15543
-84.75797,-96.268105
146.33624,-131.15543
146.33624,-131.15543
146.33624,-131.15543
172.05116,-145.82776
172.05116,-145.82776
193.06903,-128.30139
27.180706,-190.32231
-55.934505,-169.29877
192.68744,-151.38268
-29.037252,-49.411633
-173.86708,-2.4573958
-181.05046,59.76146
42.64766,-192.97908
42.64766,-192.97908
20.773033,-14.948527
-181.05046,59.76146
-74.396,-161.76685
175.00749,-170.12186
