subset,documents,tokens_budgeted,tokens_effective,words_available,documents_available,tokens_per_document
acm_Arab,7382,58880225,3239565,3239565,7382,438.8465185586562
ady_Cyrl,6863,58304884,3135246,3135246,6863,456.8331633396474
aeb_Arab,19979,82296143,9889783,9889783,19979,495.00890935482255
afr_Latn,471574,378377454,378376767,1598352868,1992040,802.3698660669464
als_Latn,1186731,476798358,476798229,3454387059,8597826,401.77447868798464
amh_Ethi,382453,214216161,214216004,239936286,428373,560.1106652380051
apc_Arab,69740,100905735,19512279,19512279,69740,279.7860481789504
arb_Arab,1769403,936777972,936777801,32812858120,61977525,529.4315660394635
arg_Latn,26250,83002902,10175742,10175742,26250,387.6473142857143
ars_Arab,245127,221924338,221923442,269942711,298167,905.3406681490574
ary_Arab,875912,312358036,312357837,843523994,2365405,356.60869660798045
arz_Arab,590759,238882641,238882401,345040810,853290,404.36523339075814
asm_Beng,267371,163762949,98018336,98018336,267371,366.6004764914669
ast_Latn,71329,131836520,47574503,47574503,71329,666.972802086108
ava_Cyrl,8766,65310431,4576467,4576467,8766,522.0701574264202
azb_Arab,79211,120729106,35478216,35478216,79211,447.89506507934504
bak_Cyrl,183068,153963231,79795527,79795527,183068,435.8791651189722
ban_Latn,9233,82438032,9946735,9946735,9233,1077.3026102025344
bar_Latn,37025,103032587,20917214,20917214,37025,564.9483862255233
bcl_Latn,8822,64633391,4420231,4420231,8822,501.046361369304
bel_Cyrl,620002,344265474,344265382,1166541148,2100873,555.2649531885078
ben_Beng,1399168,566972235,566972045,6153579265,15185742,405.22084893843186
bew_Latn,318333,235081173,235080772,327075482,442907,738.4744020753792
bho_Deva,18467,77327948,8036065,8036065,18467,435.15811988953266
bod_Tibt,161076,183726351,143822443,143822443,161076,892.8856130025578
bos_Latn,1489894,637304943,637304659,9086837979,21243255,427.75167830918565
bre_Latn,59875,112551697,28082040,28082040,59875,469.0111064718163
bul_Cyrl,1222970,756246346,756246308,16074326712,25994731,618.3686498621586
bxr_Cyrl,11441,73091632,6660099,6660099,11441,582.1256009090115
cat_Latn,1275358,621297513,621297173,8348091726,17136414,487.15511459982235
ceb_Latn,204636,179290991,132571464,132571464,204636,647.8403799917903
ces_Latn,1785789,958995209,958994759,35479428809,66067904,537.0145965127031
che_Cyrl,22344,88924188,12802715,12803288,22345,572.9822331617812
chv_Cyrl,81380,124402335,39205795,39205795,81380,481.7620422708282
ckb_Arab,500762,213248537,213248451,236342609,554993,425.84790979345684
cos_Latn,111036,153542426,79070865,79070865,111036,712.1191775640333
crh_Cyrl,2576,57239745,2948362,2948362,2576,1144.5504658385094
cym_Latn,430328,270663940,270663563,523226616,831878,628.9703730595111
dan_Latn,1446045,893780633,893780245,28055948840,45391655,618.0860521609093
deu_Latn,3304827,1747626250,1747626052,262271052199,495964485,528.8101469584057
diq_Latn,7744,60926602,3630321,3630321,7744,468.791451446281
div_Thaa,348727,160195228,91079452,91079452,348727,261.17694356903826
dsb_Latn,6798,52526818,2214074,2214074,6798,325.6949102677258
dzo_Tibt,19239,82441856,9948273,9948273,19239,517.0888819585217
ekk_Latn,899876,578069185,578069045,6564292000,10218587,642.3874455440855
ell_Grek,1745291,840163030,840162946,22827957288,47421073,481.3884596833142
epo_Latn,300645,214011483,214010873,239172962,335993,711.8391216483677
eus_Latn,654419,296863258,296863067,711939889,1569434,453.62843483701766
ewe_Latn,6973,77662988,8152713,8152713,6973,1169.1829915387925
fao_Latn,291151,165330348,101180563,101180563,291151,347.5192013766053
fij_Latn,15331,84811586,10933833,10933833,15331,713.1845933076772
fin_Latn,1464621,811612207,811611668,20343096672,36710816,554.1444971422046
fra_Latn,2707615,1659365521,1659365184,220662584640,360058973,612.8512304566285
fry_Latn,349743,178368788,130312086,130312086,349743,372.59383604532474
fur_Latn,22920,90045029,13348589,13349171,22921,582.3991536145893
gaz_Latn,47883,100483974,19241747,19241747,47883,401.8492366810768
