lang_code	lang_name	dataset_sources	lines	sequences	tokens	resource_category	10similar_langs	10dissimilar_langs
bul_cyrl	Bulgarian	oscar	22967227	8004000	1024512000	high	mkd_cyrl, srp_cyrl, rus_cyrl, ukr_cyrl, bel_cyrl, por_latn, ita_latn, eng_latn, slk_latn, spa_latn	jpn_jpan, npi_deva, kor_hang, tam_taml, ind_latn, tha_thai, zho_hans, ben_beng, vie_latn, aze_latn
zho_hans	Chinese	oscar	32000000	8004000	1024512000	high	jpn_jpan, kor_hang, vie_latn, hin_deva, tha_thai, ind_latn, ben_beng, rus_cyrl, urd_arab, kaz_cyrl	arb_arab, spa_latn, ces_latn, cat_latn, srp_cyrl, por_latn, npi_deva, slv_latn, fra_latn, tur_latn
ces_latn	Czech	oscar	32000000	8004000	1024512000	high	slk_latn, slv_latn, lit_latn, pol_latn, dan_latn, ron_latn, nob_latn, lav_latn, swe_latn, eng_latn	jpn_jpan, tha_thai, zho_hans, ind_latn, npi_deva, kor_hang, vie_latn, ben_beng, tam_taml, kaz_cyrl
dan_latn	Danish	oscar	32000000	8004000	1024512000	high	nob_latn, swe_latn, eng_latn, nld_latn, deu_latn, ron_latn, fra_latn, sqi_latn, ita_latn, por_latn	npi_deva, jpn_jpan, tha_thai, zho_hans, tam_taml, kor_hang, ind_latn, ben_beng, kaz_cyrl, vie_latn
nld_latn	Dutch	oscar	32000000	8004000	1024512000	high	eng_latn, deu_latn, swe_latn, dan_latn, nob_latn, ita_latn, fra_latn, cat_latn, por_latn, spa_latn	npi_deva, jpn_jpan, zho_hans, tam_taml, kor_hang, tha_thai, ben_beng, kaz_cyrl, ind_latn, vie_latn
eng_latn	English	oscar	32000000	8004000	1024512000	high	nld_latn, swe_latn, nob_latn, deu_latn, dan_latn, fra_latn, ita_latn, cat_latn, por_latn, spa_latn	npi_deva, jpn_jpan, tam_taml, kor_hang, kaz_cyrl, ben_beng, zho_hans, tha_thai, urd_arab, ind_latn
fin_latn	Finnish	oscar	32000000	8004000	1024512000	high	est_latn, nob_latn, hun_latn, dan_latn, swe_latn, eng_latn, slk_latn, ron_latn, por_latn, ita_latn	npi_deva, jpn_jpan, tam_taml, tha_thai, zho_hans, ind_latn, kor_hang, ben_beng, vie_latn, kaz_cyrl
fra_latn	French	oscar	32000000	8004000	1024512000	high	eng_latn, por_latn, cat_latn, spa_latn, ita_latn, nld_latn, dan_latn, ron_latn, nob_latn, deu_latn	npi_deva, jpn_jpan, kor_hang, tam_taml, zho_hans, ben_beng, tha_thai, kaz_cyrl, ind_latn, vie_latn
deu_latn	German	oscar	32000000	8004000	1024512000	high	nld_latn, eng_latn, dan_latn, nob_latn, swe_latn, fra_latn, ita_latn, cat_latn, por_latn, ron_latn	npi_deva, jpn_jpan, zho_hans, tam_taml, kor_hang, tha_thai, ind_latn, ben_beng, kaz_cyrl, vie_latn
heb_hebr	Hebrew	oscar	21174229	8004000	1024512000	high	ron_latn, sqi_latn, ita_latn, arb_arab, por_latn, fra_latn, spa_latn, cat_latn, ell_grek, eng_latn	jpn_jpan, kor_hang, npi_deva, zho_hans, tam_taml, ben_beng, kaz_cyrl, ind_latn, vie_latn, tha_thai
