lang_code	lang_name	dataset_sources	lines	sequences	tokens	resource_category	10similar_langs	10dissimilar_langs
hun_latn	Hungarian	oscar	32000000	8004000	1024512000	high	fin_latn, por_latn, eng_latn, est_latn, deu_latn, dan_latn, nob_latn, tur_latn, slk_latn, nld_latn	npi_deva, jpn_jpan, zho_hans, tha_thai, tam_taml, ind_latn, kor_hang, ben_beng, vie_latn, urd_arab
ind_latn	Indonesian	oscar	32000000	8004000	1024512000	high	vie_latn, tha_thai, hin_deva, pes_arab, eng_latn, zho_hans, sqi_latn, ron_latn, ita_latn, swe_latn	npi_deva, kaz_cyrl, bel_cyrl, srp_cyrl, ces_latn, tur_latn, mkd_cyrl, ukr_cyrl, lit_latn, hye_armn
pes_arab	Iranian Persian	oscar	32000000	8004000	1024512000	high	urd_arab, arb_arab, hye_armn, hin_deva, tur_latn, aze_latn, lit_latn, ces_latn, sqi_latn, ell_grek	zho_hans, jpn_jpan, kor_hang, npi_deva, tha_thai, tam_taml, ben_beng, est_latn, nob_latn, dan_latn
ita_latn	Italian	oscar	32000000	8004000	1024512000	high	spa_latn, cat_latn, por_latn, ron_latn, eng_latn, fra_latn, nld_latn, sqi_latn, swe_latn, nob_latn	jpn_jpan, npi_deva, kor_hang, zho_hans, tam_taml, ben_beng, kaz_cyrl, tha_thai, ind_latn, vie_latn
jpn_jpan	Japanese	oscar	32000000	8004000	1024512000	high	zho_hans, kor_hang, ben_beng, hin_deva, kaz_cyrl, tam_taml, aze_latn, tur_latn, vie_latn, urd_arab	arb_arab, spa_latn, srp_cyrl, cat_latn, por_latn, slv_latn, heb_hebr, ita_latn, mkd_cyrl, sqi_latn
kor_hang	Korean	oscar	23508482	8004000	1024512000	high	jpn_jpan, zho_hans, hin_deva, ben_beng, urd_arab, tam_taml, vie_latn, kat_geor, kaz_cyrl, rus_cyrl	arb_arab, heb_hebr, cat_latn, spa_latn, por_latn, srp_cyrl, fra_latn, ita_latn, slv_latn, ell_grek
ell_grek	Modern Greek (1453-)	oscar	32000000	8004000	1024512000	high	ita_latn, spa_latn, por_latn, ron_latn, sqi_latn, cat_latn, pol_latn, eng_latn, fra_latn, slk_latn	jpn_jpan, npi_deva, kor_hang, zho_hans, tam_taml, ben_beng, ind_latn, tha_thai, vie_latn, kaz_cyrl
pol_latn	Polish	oscar	32000000	8004000	1024512000	high	slk_latn, slv_latn, sqi_latn, ron_latn, nob_latn, ces_latn, ita_latn, dan_latn, por_latn, swe_latn	jpn_jpan, npi_deva, tam_taml, zho_hans, kor_hang, tha_thai, ben_beng, ind_latn, kaz_cyrl, vie_latn
por_latn	Portuguese	oscar	32000000	8004000	1024512000	high	spa_latn, cat_latn, ita_latn, eng_latn, ron_latn, fra_latn, nld_latn, sqi_latn, swe_latn, nob_latn	jpn_jpan, npi_deva, kor_hang, tam_taml, zho_hans, ben_beng, tha_thai, kaz_cyrl, ind_latn, vie_latn
ron_latn	Romanian	oscar	32000000	8004000	1024512000	high	ita_latn, por_latn, cat_latn, spa_latn, sqi_latn, nob_latn, eng_latn, dan_latn, fra_latn, swe_latn	jpn_jpan, npi_deva, zho_hans, kor_hang, tam_taml, ben_beng, tha_thai, kaz_cyrl, ind_latn, vie_latn
rus_cyrl	Russian	oscar	32000000	8004000	1024512000	high	ukr_cyrl, bul_cyrl, mkd_cyrl, srp_cyrl, bel_cyrl, pol_latn, slk_latn, nob_latn, ron_latn, swe_latn	npi_deva, jpn_jpan, tam_taml, ind_latn, ben_beng, kor_hang, tha_thai, zho_hans, tur_latn, arb_arab
spa_latn	Spanish	oscar	32000000	8004000	1024512000	high	por_latn, cat_latn, ita_latn, ron_latn, eng_latn, fra_latn, nld_latn, sqi_latn, swe_latn, nob_latn	jpn_jpan, npi_deva, kor_hang, zho_hans, tam_taml, ben_beng, tha_thai, kaz_cyrl, ind_latn, vie_latn
arb_arab	Standard Arabic	oscar	32000000	8004000	1024512000	high	pes_arab, heb_hebr, urd_arab, ita_latn, ron_latn, sqi_latn, fra_latn, spa_latn, cat_latn, por_latn	jpn_jpan, kor_hang, npi_deva, zho_hans, tam_taml, ben_beng, kaz_cyrl, ind_latn, tha_thai, vie_latn
swe_latn	Swedish	oscar	32000000	8004000	1024512000	high	nob_latn, dan_latn, eng_latn, nld_latn, deu_latn, ita_latn, ron_latn, por_latn, cat_latn, fra_latn	npi_deva, jpn_jpan, tam_taml, kaz_cyrl, ben_beng, kor_hang, zho_hans, tha_thai, ind_latn, vie_latn
tha_thai	Thai	oscar	24387224	8004000	1024512000	high	vie_latn, ind_latn, zho_hans, hin_deva, rus_cyrl, heb_hebr, eng_latn, pes_arab, ron_latn, arb_arab	npi_deva, ces_latn, srp_cyrl, tam_taml, tur_latn, kaz_cyrl, bel_cyrl, lit_latn, lav_latn, slv_latn
tur_latn	Turkish	oscar	32000000	8004000	1024512000	high	aze_latn, hun_latn, hye_armn, ces_latn, kaz_cyrl, lit_latn, ron_latn, fin_latn, sqi_latn, lav_latn	tha_thai, vie_latn, zho_hans, ind_latn, jpn_jpan, kor_hang, npi_deva, rus_cyrl, ben_beng, bel_cyrl
ukr_cyrl	Ukrainian	oscar	32000000	8004000	1024512000	high	rus_cyrl, mkd_cyrl, bul_cyrl, bel_cyrl, srp_cyrl, pol_latn, slk_latn, nob_latn, slv_latn, eng_latn	jpn_jpan, npi_deva, tam_taml, ind_latn, tha_thai, kor_hang, ben_beng, zho_hans, vie_latn, urd_arab
vie_latn	Vietnamese	oscar	32000000	8004000	1024512000	high	ind_latn, tha_thai, hin_deva, zho_hans, eng_latn, pes_arab, rus_cyrl, ron_latn, ita_latn, swe_latn	npi_deva, kaz_cyrl, tur_latn, tam_taml, ces_latn, bel_cyrl, srp_cyrl, lit_latn, lav_latn, slv_latn
lit_latn	Lithuanian	oscar	15726826	6155122	787855616	medhigh	lav_latn, ces_latn, pol_latn, slk_latn, slv_latn, sqi_latn, ron_latn, dan_latn, nob_latn, ita_latn	tha_thai, jpn_jpan, ind_latn, zho_hans, kor_hang, npi_deva, vie_latn, tam_taml, ben_beng, kaz_cyrl
hin_deva	Hindi	oscar	13867287	6047621	774095488	medhigh	npi_deva, urd_arab, ben_beng, tam_taml, kat_geor, pes_arab, aze_latn, kaz_cyrl, kor_hang, hye_armn	tha_thai, jpn_jpan, srp_cyrl, cat_latn, bel_cyrl, por_latn, zho_hans, arb_arab, lav_latn, ces_latn
cat_latn	Catalan	oscar	14065691	6025185	771223680	medhigh	spa_latn, por_latn, ita_latn, eng_latn, ron_latn, fra_latn, nld_latn, swe_latn, sqi_latn, nob_latn	jpn_jpan, npi_deva, kor_hang, tam_taml, zho_hans, ben_beng, tha_thai, kaz_cyrl, ind_latn, vie_latn
slk_latn	Slovak	oscar	13842297	5831814	746472192	medhigh	ces_latn, slv_latn, pol_latn, ron_latn, sqi_latn, nob_latn, por_latn, dan_latn, swe_latn, eng_latn	jpn_jpan, npi_deva, kor_hang, zho_hans, tam_taml, tha_thai, ind_latn, ben_beng, vie_latn, kaz_cyrl
nob_latn	Norwegian Bokmål	oscar	12925819	4784921	612469888	medhigh	dan_latn, swe_latn, eng_latn, nld_latn, deu_latn, ron_latn, sqi_latn, fra_latn, ita_latn, por_latn	npi_deva, jpn_jpan, tam_taml, zho_hans, tha_thai, ben_beng, kor_hang, kaz_cyrl, ind_latn, vie_latn
est_latn	Estonian	oscar	10230273	3909119	500367232	medhigh	fin_latn, nob_latn, dan_latn, slk_latn, slv_latn, swe_latn, ron_latn, por_latn, sqi_latn, eng_latn	jpn_jpan, npi_deva, tha_thai, zho_hans, ind_latn, tam_taml, kor_hang, vie_latn, ben_beng, kaz_cyrl
ben_beng	Bengali	oscar	8632537	3280161	419860608	medhigh	hin_deva, urd_arab, tam_taml, kaz_cyrl, aze_latn, kor_hang, npi_deva, tur_latn, jpn_jpan, zho_hans	spa_latn, por_latn, cat_latn, srp_cyrl, arb_arab, bel_cyrl, ita_latn, ukr_cyrl, fra_latn, slv_latn
lav_latn	Latvian	oscar	7714519	2964581	379466368	medhigh	lit_latn, ces_latn, dan_latn, nob_latn, eng_latn, slk_latn, swe_latn, pol_latn, deu_latn, nld_latn	npi_deva, tha_thai, kor_hang, jpn_jpan, zho_hans, ind_latn, vie_latn, tam_taml, ben_beng, kaz_cyrl
srp_cyrl	Serbian	oscar	5209554	2181042	279173376	medhigh	mkd_cyrl, bul_cyrl, ukr_cyrl, rus_cyrl, slv_latn, bel_cyrl, slk_latn, sqi_latn, ron_latn, pol_latn	jpn_jpan, kor_hang, npi_deva, ind_latn, tha_thai, zho_hans, tam_taml, vie_latn, ben_beng, urd_arab
slv_latn	Slovenian	oscar	4956290	2109589	270027392	medhigh	slk_latn, ces_latn, pol_latn, sqi_latn, srp_cyrl, ron_latn, nob_latn, por_latn, dan_latn, ita_latn	jpn_jpan, npi_deva, zho_hans, kor_hang, tha_thai, tam_taml, ind_latn, vie_latn, ben_beng, kaz_cyrl
tam_taml	Tamil	oscar	5835419	2013161	257684608	medhigh	hin_deva, ben_beng, urd_arab, kaz_cyrl, aze_latn, tur_latn, kor_hang, npi_deva, hye_armn, pes_arab	por_latn, cat_latn, tha_thai, fra_latn, spa_latn, srp_cyrl, bel_cyrl, vie_latn, ita_latn, slv_latn
sqi_latn	Albanian	oscar	4922424	1881293	240805504	medhigh	ron_latn, por_latn, ita_latn, nob_latn, dan_latn, slv_latn, spa_latn, swe_latn, cat_latn, slk_latn	jpn_jpan, npi_deva, kor_hang, zho_hans, tam_taml, ben_beng, tha_thai, kaz_cyrl, vie_latn, ind_latn
aze_latn	Azerbaijani	oscar	3842241	1391836	178155008	medhigh	tur_latn, kaz_cyrl, hun_latn, hye_armn, lit_latn, kat_geor, hin_deva, ces_latn, lav_latn, ron_latn	tha_thai, ind_latn, vie_latn, zho_hans, jpn_jpan, kor_hang, npi_deva, rus_cyrl, bel_cyrl, arb_arab
urd_arab	Urdu	oscar	2465985	1118604	143181312	medhigh	pes_arab, hin_deva, arb_arab, ben_beng, kat_geor, tam_taml, aze_latn, kaz_cyrl, hye_armn, bul_cyrl	jpn_jpan, tha_thai, npi_deva, ind_latn, vie_latn, zho_hans, lav_latn, ces_latn, nob_latn, dan_latn
npi_deva	Nepali (individual language)	oscar	2892658	1093665	139989120	medhigh	hin_deva, ben_beng, tam_taml, aze_latn, tur_latn, kaz_cyrl, urd_arab, pes_arab, kat_geor, hye_armn	cat_latn, spa_latn, eng_latn, por_latn, fra_latn, ind_latn, tha_thai, arb_arab, ita_latn, nld_latn
epo_latn	Esperanto	nllb, flores200_dev, flores200_devtest, bible, wiki, oscar	4331572	1073273	137378944	medlow*	spa_latn, ita_latn, cat_latn, por_latn, eng_latn, ron_latn, nob_latn, deu_latn, sqi_latn, nld_latn	jpn_jpan, npi_deva, zho_hans, tam_taml, kor_hang, tha_thai, ben_beng, ind_latn, vie_latn, kaz_cyrl
hrv_latn	Croatian	nllb, flores200_dev, flores200_devtest, bible, wiki, oscar	4334871	1016023	130050944	medlow*	slv_latn, slk_latn, sqi_latn, pol_latn, ces_latn, srp_cyrl, ron_latn, nob_latn, dan_latn, por_latn	jpn_jpan, npi_deva, tha_thai, kor_hang, zho_hans, tam_taml, ben_beng, vie_latn, kaz_cyrl, ind_latn
mkd_cyrl	Macedonian	oscar	2549910	975026	124803328	medhigh	bul_cyrl, srp_cyrl, ukr_cyrl, rus_cyrl, bel_cyrl, slk_latn, slv_latn, por_latn, sqi_latn, ron_latn	jpn_jpan, npi_deva, kor_hang, ind_latn, tha_thai, zho_hans, tam_taml, vie_latn, ben_beng, pes_arab
kaz_cyrl	Kazakh	oscar	2644747	968910	124020480	medhigh	aze_latn, tur_latn, rus_cyrl, hye_armn, hin_deva, urd_arab, kat_geor, mkd_cyrl, bul_cyrl, ukr_cyrl	ind_latn, tha_thai, vie_latn, cat_latn, spa_latn, por_latn, swe_latn, eng_latn, arb_arab, nld_latn
kat_geor	Georgian	oscar	2708995	955074	122249472	medhigh	hye_armn, hin_deva, hun_latn, ron_latn, deu_latn, nob_latn, dan_latn, slv_latn, aze_latn, fin_latn	jpn_jpan, npi_deva, ind_latn, tha_thai, vie_latn, zho_hans, tam_taml, kor_hang, ben_beng, arb_arab
hye_armn	Armenian	oscar	2611841	946180	121111040	medhigh	hun_latn, aze_latn, kat_geor, tur_latn, ron_latn, kaz_cyrl, pes_arab, ces_latn, lit_latn, fin_latn	ind_latn, jpn_jpan, npi_deva, tha_thai, vie_latn, zho_hans, kor_hang, ben_beng, tam_taml, arb_arab
bel_cyrl	Belarusian	oscar	2021393	850098	108812544	medhigh	ukr_cyrl, mkd_cyrl, rus_cyrl, srp_cyrl, bul_cyrl, pol_latn, slk_latn, sqi_latn, ron_latn, slv_latn	jpn_jpan, npi_deva, ind_latn, tha_thai, kor_hang, tam_taml, zho_hans, vie_latn, ben_beng, urd_arab
mal_mlym	Malayalam	oscar	1720004	703616	90062848	medlow	tam_taml, hin_deva, ben_beng, aze_latn, urd_arab, kaz_cyrl, kor_hang, tur_latn, jpn_jpan, npi_deva	spa_latn, cat_latn, por_latn, fra_latn, ita_latn, srp_cyrl, bel_cyrl, arb_arab, slv_latn, swe_latn
isl_latn	Icelandic	nllb, flores200_devtest, flores200_dev, bible, wiki, oscar	3184596	691352	88493056	medlow	nob_latn, swe_latn, dan_latn, eng_latn, nld_latn, deu_latn, pol_latn, ron_latn, por_latn, slk_latn	npi_deva, jpn_jpan, tam_taml, tha_thai, zho_hans, ben_beng, ind_latn, kaz_cyrl, kor_hang, vie_latn
cym_latn	Welsh	nllb, flores200_devtest, flores200_dev, wiki, oscar	2945117	672767	86114176	medlow	por_latn, ita_latn, cat_latn, eng_latn, spa_latn, fra_latn, sqi_latn, ron_latn, nld_latn, pol_latn	jpn_jpan, npi_deva, tam_taml, kor_hang, zho_hans, ben_beng, kaz_cyrl, tha_thai, ind_latn, vie_latn
tel_telu	Telugu	oscar	1524612	638821	81769088	medlow	tam_taml, hin_deva, ben_beng, urd_arab, kaz_cyrl, aze_latn, tur_latn, kor_hang, npi_deva, hye_armn	tha_thai, por_latn, cat_latn, spa_latn, fra_latn, vie_latn, bel_cyrl, srp_cyrl, ind_latn, ita_latn
glg_latn	Galician	oscar	1486792	636372	81455616	medlow	spa_latn, por_latn, cat_latn, ita_latn, ron_latn, eng_latn, fra_latn, sqi_latn, nob_latn, nld_latn	jpn_jpan, npi_deva, kor_hang, zho_hans, tam_taml, ben_beng, tha_thai, ind_latn, kaz_cyrl, vie_latn
hau_latn	Hausa	afriberta, nllb, bible, bible0, wiki	3459847	634340	81195520	medlow	eng_latn, por_latn, cat_latn, ita_latn, spa_latn, fra_latn, nld_latn, ron_latn, heb_hebr, deu_latn	jpn_jpan, kor_hang, tam_taml, kaz_cyrl, npi_deva, zho_hans, ben_beng, tur_latn, aze_latn, pes_arab
mon_cyrl	Mongolian	oscar	1732387	619301	79270528	medlow	kaz_cyrl, jpn_jpan, kor_hang, aze_latn, rus_cyrl, hin_deva, tur_latn, ben_beng, tam_taml, hye_armn	arb_arab, spa_latn, cat_latn, por_latn, heb_hebr, ita_latn, fra_latn, ell_grek, ind_latn, tha_thai
mar_deva	Marathi	oscar	1433151	616414	78900992	medlow	hin_deva, npi_deva, ben_beng, tam_taml, urd_arab, aze_latn, kaz_cyrl, kor_hang, kat_geor, tur_latn	por_latn, tha_thai, cat_latn, spa_latn, arb_arab, ind_latn, vie_latn, ita_latn, srp_cyrl, bel_cyrl
ast_latn	Asturian	nllb, flores200_devtest, flores200_dev, wiki, oscar	2488325	601549	76998272	medlow	spa_latn, por_latn, cat_latn, ita_latn, ron_latn, eng_latn, sqi_latn, fra_latn, slk_latn, swe_latn	jpn_jpan, kor_hang, tam_taml, npi_deva, ben_beng, kaz_cyrl, zho_hans, tha_thai, vie_latn, ind_latn
afr_latn	Afrikaans	nllb, flores200_devtest, flores200_dev, wiki, oscar	2998729	593169	75925632	medlow	nld_latn, eng_latn, deu_latn, ita_latn, cat_latn, dan_latn, fra_latn, swe_latn, por_latn, nob_latn	jpn_jpan, npi_deva, kor_hang, zho_hans, kaz_cyrl, rus_cyrl, bel_cyrl, ben_beng, tha_thai, tam_taml
eus_latn	Basque	oscar	1596788	589768	75490304	medlow	spa_latn, por_latn, cat_latn, ita_latn, ron_latn, eng_latn, fra_latn, sqi_latn, hun_latn, nld_latn	zho_hans, jpn_jpan, npi_deva, tha_thai, tam_taml, kor_hang, ind_latn, vie_latn, ben_beng, kaz_cyrl
mya_mymr	Burmese	nllb, flores200_devtest, flores200_dev, bible, bible0, wiki, oscar	2738720	588243	75295104	medlow	kor_hang, ben_beng, jpn_jpan, tam_taml, hin_deva, tha_thai, aze_latn, kaz_cyrl, vie_latn, tur_latn	por_latn, spa_latn, bel_cyrl, cat_latn, srp_cyrl, arb_arab, bul_cyrl, mkd_cyrl, slv_latn, ukr_cyrl
bos_latn	Bosnian	nllb, flores200_devtest, flores200_dev, wiki	2597266	572824	73321472	medlow	slv_latn, slk_latn, srp_cyrl, sqi_latn, pol_latn, ron_latn, nob_latn, por_latn, ces_latn, mkd_cyrl	jpn_jpan, kor_hang, tam_taml, tha_thai, zho_hans, vie_latn, npi_deva, ben_beng, kaz_cyrl, ind_latn
knc_arab	Central Kanuri	nllb, flores200_devtest, flores200_dev	1622835	563655	72147840	medlow	pes_arab, arb_arab, tur_latn, aze_latn, kat_geor, hye_armn, heb_hebr, urd_arab, spa_latn, ita_latn	zho_hans, kor_hang, jpn_jpan, ind_latn, vie_latn, tha_thai, ben_beng, npi_deva, swe_latn, dan_latn
som_latn	Somali	afriberta, nllb, bible, wiki	2884686	562216	71963648	medlow	hin_deva, urd_arab, kat_geor, sqi_latn, heb_hebr, arb_arab, swe_latn, nld_latn, ron_latn, deu_latn	jpn_jpan, zho_hans, tha_thai, kor_hang, ces_latn, bel_cyrl, lav_latn, vie_latn, lit_latn, tur_latn
tat_cyrl	Tatar	webcorpora, nllb, flores200_devtest, flores200_dev, wiki, oscar	3276432	558191	71448448	medlow	kaz_cyrl, aze_latn, rus_cyrl, tur_latn, mkd_cyrl, bul_cyrl, ukr_cyrl, hye_armn, bel_cyrl, srp_cyrl	ind_latn, tha_thai, vie_latn, zho_hans, jpn_jpan, arb_arab, npi_deva, eng_latn, kor_hang, heb_hebr
ceb_latn	Cebuano	nllb, flores200_devtest, flores200_dev, bible, wiki, oscar	2992370	555731	71133568	medlow	ind_latn, vie_latn, tha_thai, arb_arab, rus_cyrl, eng_latn, ita_latn, zho_hans, ron_latn, fin_latn	tam_taml, npi_deva, jpn_jpan, kaz_cyrl, ces_latn, srp_cyrl, ben_beng, tur_latn, lav_latn, bel_cyrl
kan_knda	Kannada	nllb, flores200_devtest, flores200_dev, bible0, bible1, bible, wiki, oscar	2859895	546700	69977600	medlow	tam_taml, hin_deva, ben_beng, urd_arab, kaz_cyrl, aze_latn, tur_latn, npi_deva, jpn_jpan, kor_hang	cat_latn, fra_latn, por_latn, spa_latn, tha_thai, vie_latn, ita_latn, ind_latn, srp_cyrl, bel_cyrl
khm_khmr	Central Khmer	nllb, flores200_devtest, flores200_dev, wiki, oscar	2483069	530589	67915392	medlow	vie_latn, tha_thai, ind_latn, zho_hans, hin_deva, rus_cyrl, pes_arab, eng_latn, heb_hebr, ben_beng	npi_deva, tur_latn, ces_latn, kaz_cyrl, srp_cyrl, bel_cyrl, lit_latn, lav_latn, tam_taml, slv_latn
guj_gujr	Gujarati	oscar	1192740	510847	65388416	medlow	hin_deva, urd_arab, ben_beng, tam_taml, kat_geor, aze_latn, kaz_cyrl, tur_latn, pes_arab, hye_armn	tha_thai, vie_latn, jpn_jpan, ind_latn, arb_arab, zho_hans, lav_latn, fra_latn, srp_cyrl, bel_cyrl
pan_guru	Panjabi	nllb, flores200_dev, flores200_devtest, bible, wiki, oscar	2539467	502770	64354560	medlow	hin_deva, urd_arab, aze_latn, ben_beng, kat_geor, pes_arab, hye_armn, tam_taml, tur_latn, kaz_cyrl	jpn_jpan, tha_thai, zho_hans, cat_latn, ind_latn, vie_latn, srp_cyrl, nld_latn, por_latn, arb_arab
bak_cyrl	Bashkir	webcorpora, nllb, flores200_devtest, flores200_dev, wiki, oscar	3278973	500194	64024832	medlow	kaz_cyrl, aze_latn, tur_latn, rus_cyrl, hye_armn, mkd_cyrl, ukr_cyrl, bel_cyrl, hun_latn, bul_cyrl	tha_thai, ind_latn, vie_latn, zho_hans, eng_latn, swe_latn, cat_latn, nld_latn, spa_latn, ita_latn
ckb_arab	Central Kurdish	nllb, flores200_devtest, flores200_dev, bible, wiki, oscar	2548876	474730	60765440	medlow	pes_arab, urd_arab, aze_latn, arb_arab, hye_armn, kaz_cyrl, tur_latn, hin_deva, ces_latn, lit_latn	ind_latn, tha_thai, vie_latn, jpn_jpan, zho_hans, kor_hang, npi_deva, fin_latn, dan_latn, nob_latn
mlt_latn	Maltese	nllb, flores200_devtest, flores200_dev, wiki, oscar	2001372	462223	59164544	medlow	ita_latn, cat_latn, por_latn, sqi_latn, ron_latn, spa_latn, heb_hebr, arb_arab, pol_latn, ell_grek	jpn_jpan, kor_hang, tam_taml, npi_deva, zho_hans, ben_beng, kaz_cyrl, vie_latn, tha_thai, ind_latn
hbs_latn	Serbo-Croatian	wiki	1755013	457178	58518784	medlow	slv_latn, srp_cyrl, slk_latn, sqi_latn, pol_latn, mkd_cyrl, ron_latn, nob_latn, ukr_cyrl, por_latn	jpn_jpan, kor_hang, tam_taml, tha_thai, zho_hans, npi_deva, vie_latn, ben_beng, ind_latn, kaz_cyrl
tgk_cyrl	Tajik	nllb, flores200_dev, flores200_devtest, bible, wiki, oscar	2522837	448058	57351424	medlow	kaz_cyrl, pes_arab, rus_cyrl, bul_cyrl, mkd_cyrl, srp_cyrl, ukr_cyrl, bel_cyrl, aze_latn, hye_armn	jpn_jpan, zho_hans, kor_hang, ind_latn, tha_thai, npi_deva, vie_latn, fin_latn, tam_taml, ben_beng
tgl_latn	Tagalog	oscar	1132018	433652	55507456	medlow	ind_latn, vie_latn, tha_thai, hin_deva, eng_latn, pes_arab, rus_cyrl, ron_latn, ita_latn, urd_arab	npi_deva, srp_cyrl, bel_cyrl, kaz_cyrl, mkd_cyrl, ukr_cyrl, tur_latn, ces_latn, slv_latn, tam_taml
kir_cyrl	Kirghiz	nllb, flores200_dev, flores200_devtest, wiki, oscar	2578478	433567	55496576	medlow	kaz_cyrl, aze_latn, rus_cyrl, tur_latn, hin_deva, hye_armn, mkd_cyrl, bul_cyrl, ben_beng, tam_taml	ind_latn, tha_thai, vie_latn, cat_latn, spa_latn, por_latn, arb_arab, fra_latn, ita_latn, heb_hebr
tir_ethi	Tigrinya	afriberta, tlmd, nllb, flores200_dev, flores200_devtest, wiki	2708131	432647	55378816	medlow	heb_hebr, arb_arab, aze_latn, tur_latn, pes_arab, hye_armn, kaz_cyrl, kat_geor, mkd_cyrl, urd_arab	tha_thai, vie_latn, kor_hang, zho_hans, jpn_jpan, ind_latn, npi_deva, ben_beng, dan_latn, fin_latn
msa_latn	Malay (macrolanguage)	wiki, oscar	1699107	431634	55249152	medlow	ind_latn, vie_latn, tha_thai, eng_latn, heb_hebr, ita_latn, fra_latn, rus_cyrl, zho_hans, ron_latn	npi_deva, tam_taml, kaz_cyrl, tur_latn, jpn_jpan, ces_latn, aze_latn, hye_armn, lit_latn, kor_hang
ibo_latn	Igbo	afriberta, nllb, flores200_devtest, flores200_dev, bible, wiki	2363286	417265	53409920	medlow	spa_latn, ita_latn, cat_latn, por_latn, fra_latn, eng_latn, ron_latn, nld_latn, heb_hebr, deu_latn	jpn_jpan, kor_hang, zho_hans, npi_deva, tam_taml, ben_beng, kaz_cyrl, hin_deva, urd_arab, aze_latn
sin_sinh	Sinhala	oscar	1008634	414859	53101952	medlow	hin_deva, urd_arab, ben_beng, tam_taml, aze_latn, kaz_cyrl, kor_hang, kat_geor, pes_arab, tur_latn	cat_latn, fra_latn, spa_latn, por_latn, eng_latn, bel_cyrl, srp_cyrl, swe_latn, nld_latn, nob_latn
gle_latn	Irish	nllb, flores200_dev, flores200_devtest, wiki, oscar	2230852	398598	51020544	medlow	por_latn, spa_latn, ita_latn, cat_latn, sqi_latn, eng_latn, ell_grek, fra_latn, ron_latn, pol_latn	jpn_jpan, kor_hang, tam_taml, kaz_cyrl, npi_deva, ben_beng, zho_hans, tha_thai, aze_latn, tur_latn
