subset,documents,tokens_budgeted,tokens_effective,words_available,documents_available,tokens_per_document
lus_Latn,90564,503393148,48966586,48966586,90564,540.6848858265978
lwo_Latn,52,74858111,85311,85311,52,1640.5961538461538
mad_Latn,582,123171913,448657,448657,582,770.8883161512027
mai_Deva,22787,345958988,14026766,14026766,22787,615.5600122877079
mak_Latn,142,108446340,293489,293489,142,2066.823943661972
mal_Mlym,3322526,1264191077,1054187581,1054187581,3322526,317.2849756480461
mam_Latn,2670,204809460,2443668,2443668,2670,915.2314606741573
mar_Deva,3596730,1416762886,1416762750,1541225070,3912702,393.9030036021143
mav_Latn,91,83042720,120563,120563,91,1324.868131868132
mbc_Latn,88,76553672,91924,91924,88,1044.590909090909
mbj_Latn,45,74414650,83638,83638,45,1858.6222222222223
mca_Latn,263,96841466,201255,201255,263,765.2281368821293
mcb_Latn,96,92358024,171840,171840,96,1790.0
mcd_Latn,151,92956840,175582,175582,151,1162.794701986755
mcf_Latn,48,60555108,42077,42077,48,876.6041666666666
mcp_Latn,44,61903886,45283,45283,44,1029.159090909091
meq_Latn,297,116489405,372532,372532,297,1254.3164983164984
mfe_Latn,8899,268654719,6037499,6037499,8899,678.4469041465334
mfi_Latn,423,118889806,398741,398741,423,942.6501182033097
mgc_Latn,5,27680736,3096,3096,5,619.2
mif_Latn,476,122295846,438108,438108,476,920.3949579831933
min_Latn,557,123893307,457476,457476,557,821.3213644524237
mkd_Cyrl,3698612,1435812669,1435812481,1611392841,4150902,388.20305586592985
mkn_Latn,311,115046333,357370,357370,311,1149.0996784565916
mlt_Latn,489190,855257385,286548586,286548586,489190,585.7613319977922
moa_Latn,6,35820396,7311,7311,6,1218.5
mos_Latn,2240,211236982,2708790,2708790,2240,1209.28125
mpt_Latn,36,63034872,48100,48100,36,1336.111111111111
mqb_Latn,333,120671229,419007,419007,333,1258.2792792792793
muh_Latn,282,127215870,499666,499666,282,1771.8652482269504
muy_Latn,58,70676919,70437,70437,58,1214.4310344827586
mva_Latn,263,113560937,342220,342220,263,1301.216730038023
myk_Latn,83,83761556,124077,124077,83,1494.9036144578313
myu_Latn,61,66536442,57598,57598,61,944.2295081967213
myy_Latn,341,115871137,365982,365982,341,1073.2609970674487
mzn_Arab,1649,134628188,603479,603479,1649,365.96664645239537
naw_Latn,10,38380991,9203,9203,10,920.3
ncl_Latn,133,84885087,129712,129712,133,975.2781954887218
ncu_Latn,97,84391329,127214,127214,97,1311.4845360824743
nde_Latn,22657,274709946,6503145,6503145,22657,287.0258639713996
ndh_Latn,58,61746757,44901,44901,58,774.1551724137931
ndj_Latn,12,34800684,6640,6640,12,553.3333333333334
ndo_Latn,8837,243510185,4351102,4351102,8837,492.3732035758742
nds_Latn,64394,451700253,34122691,34122691,64394,529.904820324875
ndz_Latn,4,32129316,5088,5088,4,1272.0
nko_Latn,101,73915084,81781,81781,101,809.7128712871287
nld_Latn,8955411,4537529617,4537529204,74634633118,147301270,506.6801740270128
nnw_Latn,69,75554689,87986,87986,69,1275.159420289855
noa_Latn,206,102133280,239146,240307,207,1160.9033816425122
not_Latn,83,64123040,50924,50924,83,613.5421686746988
nst_Latn,5,27951228,3198,3198,5,639.6
nuj_Latn,97,70207001,68888,68888,97,710.1855670103092
nus_Latn,130,78735725,100952,100952,130,776.5538461538462
