subset,documents,tokens_budgeted,tokens_effective,words_available,documents_available,tokens_per_document
aau_Latn,1992,298359521,734116,734116,1992,368.53212851405624
abs_Latn,209,168114273,107954,108471,210,516.5285714285715
abt_Latn,4098,347020961,1214742,1214742,4098,296.4231332357247
aca_Latn,172,176619250,127867,127867,172,743.4127906976744
acd_Latn,2545,289224985,661577,661837,2546,259.95168892380207
ace_Latn,2982,428538767,2454325,2454325,2982,823.0466130114017
ach_Latn,2522,363383853,1416393,1416393,2522,561.6149881046788
acu_Latn,750,244276364,376909,376909,750,502.54533333333336
adj_Latn,837,249600836,404997,404997,837,483.8673835125448
afr_Latn,1992040,2993038431,1598352868,1598352868,1992040,802.3698660669464
akp_Latn,446,213744961,241519,241519,446,541.5224215246636
aly_Latn,251,228077799,299853,299853,251,1194.633466135458
