subset,documents,tokens_budgeted,tokens_effective,words_available,documents_available,tokens_per_document
aau_Latn,1992,247939838,734116,734116,1992,368.53212851405624
abs_Latn,209,139704694,107954,108471,210,516.5285714285715
abt_Latn,4098,288377996,1214742,1214742,4098,296.4231332357247
aca_Latn,172,146772418,127867,127867,172,743.4127906976744
acd_Latn,2545,240348944,661577,661837,2546,259.95168892380207
ace_Latn,2982,356120133,2454325,2454325,2982,823.0466130114017
ach_Latn,2522,301975728,1416393,1416393,2522,561.6149881046788
acu_Latn,750,202996176,376909,376909,750,502.54533333333336
adj_Latn,837,207420868,404997,404997,837,483.8673835125448
afr_Latn,1992040,2487245793,1598352868,1598352868,1992040,802.3698660669464
akp_Latn,446,177624266,241519,241519,446,541.5224215246636
aly_Latn,251,189535002,299853,299853,251,1194.633466135458
amf_Latn,76,116796822,59710,59710,76,785.6578947368421
amr_Latn,121,132912175,91867,91867,121,759.2314049586777
anv_Latn,65,129928959,85172,85172,65,1310.3384615384616
any_Latn,23,91315430,26288,26288,23,1142.9565217391305
aoj_Latn,1026,263869649,903459,903459,1026,880.5643274853801
apy_Latn,182,158952985,166791,166791,182,916.434065934066
are_Latn,34,85787510,21348,21348,34,627.8823529411765
arg_Latn,26250,545615541,10175742,10175742,26250,387.6473142857143
asm_Beng,267371,1076487777,98018336,98018336,267371,366.6004764914669
atb_Latn,390,200467174,361483,361483,390,926.8794871794872
auy_Latn,265,181682753,260409,260409,265,982.6754716981133
avt_Latn,234,187402274,288753,288753,234,1233.9871794871794
avu_Latn,376,239870978,657460,657460,376,1748.563829787234
awa_Deva,1901,275601739,1043891,1044440,1902,549.1272344900106
awx_Latn,79,119403586,64269,64269,79,813.5316455696203
ban_Latn,9233,541902394,9946735,9946735,9233,1077.3026102025344
bch_Latn,415,219700033,490581,490581,415,1182.122891566265
bcl_Latn,8822,424864452,4420231,4420231,8822,501.046361369304
bcw_Latn,18,118532281,62719,62719,18,3484.3888888888887
bdh_Latn,686,171107223,213225,213225,686,310.82361516034985
bem_Latn,1787,306283135,1484866,1484866,1787,830.9266927811975
bex_Latn,5,47946666,3070,3070,5,614.0
bfd_Latn,294,199999232,358678,358678,294,1219.9931972789116
bhg_Latn,85,139094583,106900,106900,85,1257.6470588235295
bim_Latn,158,169551238,206830,206830,158,1309.0506329113923
biv_Latn,480,198743995,351229,351229,480,731.7270833333333
bjr_Latn,405,206663707,400090,400090,405,987.8765432098766
bla_Latn,29,105007911,41881,41881,29,1444.1724137931035
boa_Latn,90,114753809,56299,56299,90,625.5444444444445
box_Latn,50,112631154,52902,52902,50,1058.04
bqc_Latn,1363,249885975,753500,753500,1363,552.8246515040352
bqp_Latn,168,143024969,117305,117305,168,698.2440476190476
bsc_Latn,4,50691658,3696,3696,4,924.0
bsp_Latn,37,92262643,27208,27208,37,735.3513513513514
bss_Latn,422,200022146,358815,358815,422,850.2725118483412
bug_Latn,32,97810192,33054,33054,32,1032.9375
bwu_Latn,30,113402921,54120,54120,30,1804.0
bzj_Latn,1166,257383437,831532,831532,1166,713.1492281303603
cao_Latn,153,151551119,142279,142279,153,929.9281045751634
cap_Latn,282,166722514,195550,195550,282,693.4397163120567
cav_Latn,1293,203047865,377229,377229,1293,291.7470997679814
cax_Latn,447,192846525,317675,317675,447,710.682326621924
cbc_Latn,332,203068209,377355,377355,332,1136.6114457831325
cbr_Latn,130,150692902,139611,139611,130,1073.9307692307693
cbt_Latn,96,134927121,96592,96592,96,1006.1666666666666
cbu_Latn,402,197363420,343162,343162,402,853.636815920398
ceb_Latn,204636,1178560608,132571464,132571464,204636,647.8403799917903
ces_Latn,11738802,6303908362,6303908020,35479428809,66067904,537.0145965127031
che_Cyrl,22344,584538822,12802715,12803288,22345,572.9822331617812
chf_Latn,183,166349903,194097,194097,183,1060.639344262295
cho_Latn,13,54657834,4751,4751,13,365.46153846153845
cko_Latn,258,179758818,251330,251330,258,974.1472868217054
cme_Latn,42,103060061,39347,39347,42,936.8333333333334
coe_Latn,403,178266247,244441,244441,403,606.5533498759305
cof_Latn,118,133472791,93165,93165,118,789.5338983050848
cot_Latn,83,115893206,58184,58184,83,701.0120481927711
cpb_Latn,100,113845338,54827,54827,100,548.27
cpc_Latn,126,130601745,86651,86651,126,687.7063492063492
cpu_Latn,35,95391346,30407,30407,35,868.7714285714286
ctu_Latn,385,188052280,292105,292105,385,758.7142857142857
